Combination,myPort,Risk
"('SAPPE', 'UNH', 'ABBV', 'AVGO', 'O')",[0.    0.    0.    0.464 0.536],3.2126560226565015
"('SAPPE', 'UNH', 'KBS', 'NVDA', 'AVGO')",[0.01  0.    0.493 0.    0.497],3.1871563245695302
"('SAPPE', 'UNH', 'KBS', 'Cpaxt', 'AVGO')",[0.01  0.    0.493 0.    0.497],3.187156324569529
"('SAPPE', 'UNH', 'KBS', 'APPLE', 'AVGO')",[0.01  0.    0.493 0.    0.497],3.187156324569529
"('SAPPE', 'UNH', 'KBS', 'AVGO', 'SIRI')",[0.    0.    0.    0.385 0.615],2.6089226570117376
"('SAPPE', 'UNH', 'KBS', 'AVGO', 'PSEC')",[0.    0.    0.    0.245 0.755],2.4079030228128757
"('SAPPE', 'UNH', 'KBS', 'AVGO', 'TISCO')",[0.   0.   0.   0.37 0.63],2.418600004798511
"('SAPPE', 'UNH', 'KBS', 'AVGO', 'ICHI')",[0.   0.   0.   0.47 0.53],2.397199496104468
"('SAPPE', 'UNH', 'NVDA', 'AVGO', 'LH')",[0.    0.    0.    0.414 0.586],3.0471999614979155
"('SAPPE', 'UNH', 'NVDA', 'AVGO', 'SIRI')",[0.    0.    0.    0.385 0.615],2.6089226570117376
"('SAPPE', 'UNH', 'NVDA', 'AVGO', 'CVX')",[0.    0.    0.    0.454 0.546],3.57056055696911
"('SAPPE', 'UNH', 'NVDA', 'AVGO', 'PSEC')",[0.    0.    0.    0.245 0.755],2.4079030228128757
"('SAPPE', 'UNH', 'NVDA', 'AVGO', 'KCE')",[0.506 0.    0.    0.494 0.   ],3.8465492185764307
"('SAPPE', 'UNH', 'NVDA', 'AVGO', 'HCA')",[0.506 0.    0.    0.494 0.   ],3.8465492185764307
"('SAPPE', 'UNH', 'NVDA', 'AVGO', 'TISCO')",[0.   0.   0.   0.37 0.63],2.418600004798511
"('SAPPE', 'UNH', 'NVDA', 'AVGO', 'AMZN')",[0.506 0.    0.    0.494 0.   ],3.8465492185764307
"('SAPPE', 'UNH', 'NVDA', 'AVGO', 'ICHI')",[0.   0.   0.   0.47 0.53],2.397199496104468
"('SAPPE', 'UNH', 'NVDA', 'AVGO', 'O')",[0.    0.    0.    0.464 0.536],3.2126560226565015
"('SAPPE', 'UNH', 'Cpaxt', 'AVGO', 'LH')",[0.    0.    0.    0.414 0.586],3.0471999614979155
"('SAPPE', 'UNH', 'Cpaxt', 'AVGO', 'SIRI')",[0.    0.    0.    0.385 0.615],2.6089226570117376
"('SAPPE', 'UNH', 'Cpaxt', 'AVGO', 'CVX')",[0.    0.    0.    0.454 0.546],3.57056055696911
"('SAPPE', 'UNH', 'Cpaxt', 'AVGO', 'PSEC')",[0.    0.    0.    0.245 0.755],2.4079030228128757
"('SAPPE', 'UNH', 'Cpaxt', 'AVGO', 'KCE')",[0.506 0.    0.    0.494 0.   ],3.8465492185764303
"('SAPPE', 'UNH', 'Cpaxt', 'AVGO', 'HCA')",[0.506 0.    0.    0.494 0.   ],3.8465492185764303
"('SAPPE', 'UNH', 'Cpaxt', 'AVGO', 'TISCO')",[0.   0.   0.   0.37 0.63],2.418600004798511
"('SAPPE', 'UNH', 'Cpaxt', 'AVGO', 'AMZN')",[0.506 0.    0.    0.494 0.   ],3.8465492185764303
"('SAPPE', 'UNH', 'Cpaxt', 'AVGO', 'ICHI')",[0.   0.   0.   0.47 0.53],2.397199496104468
"('SAPPE', 'UNH', 'Cpaxt', 'AVGO', 'O')",[0.    0.    0.    0.464 0.536],3.2126560226565015
